Рут ок, едем.
Листинг mixer controls:
Mixer name: 'mt6895-mt6368'
Number of controls: 774
ctl     type    num     name                                     value
113     BOOL    1       UL6_CH2 PCM_2_CAP_CH1                    Off
114     BOOL    1       UL6_CH2 GAIN1_OUT_CH2                    Off
115     BOOL    1       UL7_CH1 ADDA_UL_CH1                      Off
116     BOOL    1       UL7_CH1 HW_GAIN2_OUT_CH1                 Off
117     BOOL    1       UL7_CH1 HW_SRC_2_OUT_CH1                 Off
118     BOOL    1       UL7_CH2 ADDA_UL_CH2                      Off
119     BOOL    1       UL7_CH2 HW_GAIN2_OUT_CH2                 Off
120     BOOL    1       UL7_CH2 HW_SRC_2_OUT_CH2                 Off
121     BOOL    1       UL8_CH1 ADDA_UL_CH1                      Off
122     BOOL    1       UL8_CH2 ADDA_UL_CH2                      Off
123     BOOL    1       UL_MONO_1_CH1 PCM_1_CAP_CH1              Off
124     BOOL    1       UL_MONO_1_CH1 PCM_2_CAP_CH1              Off
125     BOOL    1       UL_MONO_2_CH1 ADDA_UL_CH1                Off
126     BOOL    1       UL_MONO_3_CH1 ADDA_UL_CH1                Off
127     BOOL    1       DSP_DL DSP_DL1                           Off
128     BOOL    1       DSP_DL DSP_DL2                           Off
129     BOOL    1       DSP_DL DSP_DL12                          Off
130     BOOL    1       DSP_DL DSP_DL6                           Off
131     BOOL    1       DSP_DL DSP_DL3                           Off
132     BOOL    1       DSP_DL DSP_DL4                           Off
133     ENUM    1       HDMI_CH0_MUX                             CH0
134     ENUM    1       HDMI_CH1_MUX                             CH0
135     ENUM    1       HDMI_CH2_MUX                             CH0
136     ENUM    1       HDMI_CH3_MUX                             CH0
137     ENUM    1       HDMI_CH4_MUX                             CH0
138     ENUM    1       HDMI_CH5_MUX                             CH0
139     ENUM    1       HDMI_CH6_MUX                             CH0
140     ENUM    1       HDMI_CH7_MUX                             CH0
141     ENUM    1       HDMI_OUT_MUX                             Disconnect
142     ENUM    1       DPTX_OUT_MUX                             Disconnect
143     ENUM    1       DPTX_VIRTUAL_OUT_MUX                     Disconnect
144     BOOL    1       PCM_1_PB_CH1 ADDA_UL_CH1                 Off
145     BOOL    1       PCM_1_PB_CH1 DL2_CH1                     Off
146     BOOL    1       PCM_1_PB_CH1 DL4_CH1                     Off
147     BOOL    1       PCM_1_PB_CH2 ADDA_UL_CH2                 Off
148     BOOL    1       PCM_1_PB_CH2 DL2_CH2                     Off
149     BOOL    1       PCM_1_PB_CH2 DL4_CH2                     Off
150     BOOL    1       PCM_1_PB_CH4 I2S0_CH1                    Off
151     BOOL    1       PCM_1_PB_CH4 I2S0_CH2                    Off
152     BOOL    1       PCM_1_PB_CH4 DL1_CH1                     Off
153     BOOL    1       PCM_1_PB_CH4 I2S2_CH1                    Off
154     BOOL    1       PCM_1_PB_CH4 I2S2_CH2                    Off
155     BOOL    1       PCM_1_PB_CH4 DL4_CH1                     Off
156     BOOL    1       PCM_2_PB_CH1 ADDA_UL_CH1                 Off
157     BOOL    1       PCM_2_PB_CH1 ADDA_UL_CH2                 Off
158     BOOL    1       PCM_2_PB_CH1 ADDA_UL_CH3                 Off
159     BOOL    1       PCM_2_PB_CH1 DL2_CH1                     Off
160     BOOL    1       PCM_2_PB_CH1 DL4_CH1                     Off
161     BOOL    1       PCM_2_PB_CH2 ADDA_UL_CH1                 Off
162     BOOL    1       PCM_2_PB_CH2 ADDA_UL_CH2                 Off
163     BOOL    1       PCM_2_PB_CH2 ADDA_UL_CH3                 Off
164     BOOL    1       PCM_2_PB_CH2 DL2_CH2                     Off
165     BOOL    1       PCM_2_PB_CH2 DL4_CH2                     Off
166     BOOL    1       PCM_2_PB_CH3 ADDA_UL_CH3                 Off
167     BOOL    1       PCM_2_PB_CH4 I2S0_CH1                    Off
168     BOOL    1       PCM_2_PB_CH4 I2S0_CH2                    Off
169     BOOL    1       PCM_2_PB_CH4 DL1_CH1                     Off
170     BOOL    1       PCM_2_PB_CH4 I2S2_CH1                    Off
171     BOOL    1       PCM_2_PB_CH4 I2S2_CH2                    Off
172     BOOL    1       PCM_2_PB_CH4 DL4_CH1                     Off
173     BOOL    1       PCM_2_PB_CH5 I2S0_CH2                    Off
174     BOOL    1       PCM_2_PB_CH5 DL1_CH2                     Off
175     BOOL    1       PCM_2_PB_CH5 I2S2_CH2                    Off
176     BOOL    1       PCM_2_PB_CH5 DL4_CH2                     Off
177     BOOL    1       HW_SRC_1_IN_CH1 DL1_CH1                  Off
178     BOOL    1       HW_SRC_1_IN_CH1 DL2_CH1                  Off
179     BOOL    1       HW_SRC_1_IN_CH1 DL3_CH1                  Off
180     BOOL    1       HW_SRC_1_IN_CH1 DL4_CH1                  Off
181     BOOL    1       HW_SRC_1_IN_CH1 DL6_CH1                  Off
182     BOOL    1       HW_SRC_1_IN_CH1 I2S0_CH1                 Off
183     BOOL    1       HW_SRC_1_IN_CH1 DL5_CH1                  Off
184     BOOL    1       HW_SRC_1_IN_CH1 HW_GAIN1_OUT_CH1         Off
185     BOOL    1       HW_SRC_1_IN_CH2 DL1_CH2                  Off
186     BOOL    1       HW_SRC_1_IN_CH2 DL2_CH2                  Off
187     BOOL    1       HW_SRC_1_IN_CH2 DL3_CH2                  Off
188     BOOL    1       HW_SRC_1_IN_CH2 DL4_CH2                  Off
189     BOOL    1       HW_SRC_1_IN_CH2 DL6_CH2                  Off
190     BOOL    1       HW_SRC_1_IN_CH2 I2S0_CH2                 Off
191     BOOL    1       HW_SRC_1_IN_CH2 DL5_CH2                  Off
192     BOOL    1       HW_SRC_1_IN_CH2 HW_GAIN1_OUT_CH2         Off
193     BOOL    1       HW_SRC_2_IN_CH1 DL1_CH1                  Off
194     BOOL    1       HW_SRC_2_IN_CH1 DL2_CH1                  Off
195     BOOL    1       HW_SRC_2_IN_CH1 DL3_CH1                  Off
196     BOOL    1       HW_SRC_2_IN_CH1 DL4_CH1                  Off
197     BOOL    1       HW_SRC_2_IN_CH1 DL5_CH1                  Off
198     BOOL    1       HW_SRC_2_IN_CH1 DL6_CH1                  Off
199     BOOL    1       HW_SRC_2_IN_CH1 HW_GAIN2_OUT_CH1         Off
200     BOOL    1       HW_SRC_2_IN_CH2 DL1_CH2                  Off
201     BOOL    1       HW_SRC_2_IN_CH2 DL2_CH2                  Off
202     BOOL    1       HW_SRC_2_IN_CH2 DL3_CH2                  Off
203     BOOL    1       HW_SRC_2_IN_CH2 DL4_CH2                  Off
204     BOOL    1       HW_SRC_2_IN_CH2 DL5_CH2                  Off
205     BOOL    1       HW_SRC_2_IN_CH2 DL6_CH2                  Off
206     BOOL    1       HW_SRC_2_IN_CH2 HW_GAIN2_OUT_CH2         Off
207     BOOL    1       HW_GAIN1_IN_CH1 CONNSYS_I2S_CH1          Off
208     BOOL    1       HW_GAIN1_IN_CH2 CONNSYS_I2S_CH2          Off
209     BOOL    1       HW_GAIN2_IN_CH1 ADDA_UL_CH1              Off
210     BOOL    1       HW_GAIN2_IN_CH2 ADDA_UL_CH2              Off
211     BOOL    1       I2S1_CH1 DL1_CH1                         Off
212     BOOL    1       I2S1_CH1 DL2_CH1                         Off
213     BOOL    1       I2S1_CH1 DL3_CH1                         Off
214     BOOL    1       I2S1_CH1 DL12_CH1                        Off
215     BOOL    1       I2S1_CH1 DL6_CH1                         Off
216     BOOL    1       I2S1_CH1 DL4_CH1                         Off
217     BOOL    1       I2S1_CH1 DL5_CH1                         Off
218     BOOL    1       I2S1_CH1 DL8_CH1                         Off
219     BOOL    1       I2S1_CH1 GAIN1_OUT_CH1                   Off
220     BOOL    1       I2S1_CH1 ADDA_UL_CH1                     Off
221     BOOL    1       I2S1_CH1 PCM_1_CAP_CH1                   Off
222     BOOL    1       I2S1_CH1 PCM_2_CAP_CH1                   Off
223     BOOL    1       I2S1_CH2 DL1_CH2                         Off
224     BOOL    1       I2S1_CH2 DL2_CH2                         Off
225     BOOL    1       I2S1_CH2 DL3_CH2                         Off
226     BOOL    1       I2S1_CH2 DL12_CH2                        Off
227     BOOL    1       I2S1_CH2 DL6_CH2                         Off
228     BOOL    1       I2S1_CH2 DL4_CH2                         Off
229     BOOL    1       I2S1_CH2 DL5_CH2                         Off
230     BOOL    1       I2S1_CH2 DL8_CH2                         Off
231     BOOL    1       I2S1_CH2 GAIN1_OUT_CH2                   Off
232     BOOL    1       I2S1_CH2 ADDA_UL_CH2                     Off
233     BOOL    1       I2S1_CH2 PCM_1_CAP_CH1                   Off
234     BOOL    1       I2S1_CH2 PCM_2_CAP_CH1                   Off
235     BOOL    1       I2S1_CH2 PCM_1_CAP_CH2                   Off
236     BOOL    1       I2S1_CH2 PCM_2_CAP_CH2                   Off
237     BOOL    1       I2S3_CH1 DL1_CH1                         Off
238     BOOL    1       I2S3_CH1 DL2_CH1                         Off
239     BOOL    1       I2S3_CH1 DL3_CH1                         Off
240     BOOL    1       I2S3_CH1 DL12_CH1                        Off
241     BOOL    1       I2S3_CH1 DL6_CH1                         Off
242     BOOL    1       I2S3_CH1 DL4_CH1                         Off
243     BOOL    1       I2S3_CH1 DL5_CH1                         Off
244     BOOL    1       I2S3_CH1 DL7_CH1                         Off
245     BOOL    1       I2S3_CH1 DL8_CH1                         Off
246     BOOL    1       I2S3_CH1 GAIN1_OUT_CH1                   Off
247     BOOL    1       I2S3_CH1 ADDA_UL_CH1                     Off
248     BOOL    1       I2S3_CH1 ADDA_UL_CH2                     Off
249     BOOL    1       I2S3_CH1 ADDA_UL_CH3                     Off
250     BOOL    1       I2S3_CH1 PCM_1_CAP_CH1                   Off
251     BOOL    1       I2S3_CH1 PCM_2_CAP_CH1                   Off
252     BOOL    1       I2S3_CH2 DL1_CH2                         Off
253     BOOL    1       I2S3_CH2 DL2_CH2                         Off
254     BOOL    1       I2S3_CH2 DL3_CH2                         Off
255     BOOL    1       I2S3_CH2 DL12_CH2                        Off
256     BOOL    1       I2S3_CH2 DL6_CH2                         Off
257     BOOL    1       I2S3_CH2 DL4_CH2                         Off
258     BOOL    1       I2S3_CH2 DL5_CH2                         Off
259     BOOL    1       I2S3_CH2 DL7_CH2                         Off
260     BOOL    1       I2S3_CH2 DL8_CH2                         Off
261     BOOL    1       I2S3_CH2 GAIN1_OUT_CH2                   Off
262     BOOL    1       I2S3_CH2 ADDA_UL_CH1                     Off
263     BOOL    1       I2S3_CH2 ADDA_UL_CH2                     Off
264     BOOL    1       I2S3_CH2 ADDA_UL_CH3                     Off
265     BOOL    1       I2S3_CH2 PCM_1_CAP_CH1                   Off
266     BOOL    1       I2S3_CH2 PCM_2_CAP_CH1                   Off
267     BOOL    1       I2S3_CH2 PCM_1_CAP_CH2                   Off
268     BOOL    1       I2S3_CH2 PCM_2_CAP_CH2                   Off
269     BOOL    1       I2S5_CH1 DL1_CH1                         Off
270     BOOL    1       I2S5_CH1 DL2_CH1                         Off
271     BOOL    1       I2S5_CH1 DL3_CH1                         Off
272     BOOL    1       I2S5_CH1 DL12_CH1                        Off
273     BOOL    1       I2S5_CH1 DL6_CH1                         Off
274     BOOL    1       I2S5_CH1 DL4_CH1                         Off
275     BOOL    1       I2S5_CH1 DL5_CH1                         Off
276     BOOL    1       I2S5_CH1 DL8_CH1                         Off
277     BOOL    1       I2S5_CH1 GAIN1_OUT_CH1                   Off
278     BOOL    1       I2S5_CH1 ADDA_UL_CH1                     Off
279     BOOL    1       I2S5_CH1 PCM_1_CAP_CH1                   Off
280     BOOL    1       I2S5_CH1 PCM_2_CAP_CH1                   Off
281     BOOL    1       I2S5_CH2 DL1_CH2                         Off
282     BOOL    1       I2S5_CH2 DL2_CH2                         Off
283     BOOL    1       I2S5_CH2 DL3_CH2                         Off
284     BOOL    1       I2S5_CH2 DL12_CH2                        Off
285     BOOL    1       I2S5_CH2 DL6_CH2                         Off
286     BOOL    1       I2S5_CH2 DL4_CH2                         Off
287     BOOL    1       I2S5_CH2 DL5_CH2                         Off
288     BOOL    1       I2S5_CH2 DL8_CH2                         Off
289     BOOL    1       I2S5_CH2 GAIN1_OUT_CH2                   Off
290     BOOL    1       I2S5_CH2 ADDA_UL_CH2                     Off
291     BOOL    1       I2S5_CH2 PCM_1_CAP_CH1                   Off
292     BOOL    1       I2S5_CH2 PCM_2_CAP_CH1                   Off
293     BOOL    1       I2S5_CH2 PCM_1_CAP_CH2                   Off
294     BOOL    1       I2S5_CH2 PCM_2_CAP_CH2                   Off
295     ENUM    1       I2S1_TINYCONN_CH1_MUX                    NONE
296     ENUM    1       I2S1_TINYCONN_CH2_MUX                    NONE
297     ENUM    1       I2S3_TINYCONN_CH1_MUX                    NONE
298     ENUM    1       I2S3_TINYCONN_CH2_MUX                    NONE
299     ENUM    1       I2S1_Out_Mux                             Normal
300     ENUM    1       I2S3_Out_Mux                             Normal
301     ENUM    1       I2S5_Out_Mux                             Normal
302     ENUM    1       I2S0_In_Mux                              Normal
303     ENUM    1       I2S0_Lpbk_Mux                            Normal
304     ENUM    1       I2S2_Lpbk_Mux                            Normal
305     BOOL    1       ADDA_DL_CH1 DL1_CH1                      Off
306     BOOL    1       ADDA_DL_CH1 DL12_CH1                     Off
307     BOOL    1       ADDA_DL_CH1 DL2_CH1                      Off
308     BOOL    1       ADDA_DL_CH1 DL3_CH1                      Off
309     BOOL    1       ADDA_DL_CH1 DL4_CH1                      Off
310     BOOL    1       ADDA_DL_CH1 DL5_CH1                      Off
311     BOOL    1       ADDA_DL_CH1 DL6_CH1                      Off
312     BOOL    1       ADDA_DL_CH1 DL7_CH1                      Off
313     BOOL    1       ADDA_DL_CH1 DL8_CH1                      Off
314     BOOL    1       ADDA_DL_CH1 ADDA_UL_CH3                  Off
315     BOOL    1       ADDA_DL_CH1 ADDA_UL_CH2                  Off
316     BOOL    1       ADDA_DL_CH1 ADDA_UL_CH1                  Off
317     BOOL    1       ADDA_DL_CH1 GAIN1_OUT_CH1                Off
318     BOOL    1       ADDA_DL_CH1 PCM_1_CAP_CH1                Off
319     BOOL    1       ADDA_DL_CH1 PCM_2_CAP_CH1                Off
320     BOOL    1       ADDA_DL_CH1 SRC_1_OUT_CH1                Off
321     BOOL    1       ADDA_DL_CH2 DL1_CH1                      Off
322     BOOL    1       ADDA_DL_CH2 DL1_CH2                      Off
323     BOOL    1       ADDA_DL_CH2 DL12_CH2                     Off
324     BOOL    1       ADDA_DL_CH2 DL2_CH1                      Off
325     BOOL    1       ADDA_DL_CH2 DL2_CH2                      Off
326     BOOL    1       ADDA_DL_CH2 DL3_CH1                      Off
327     BOOL    1       ADDA_DL_CH2 DL3_CH2                      Off
328     BOOL    1       ADDA_DL_CH2 DL4_CH2                      Off
329     BOOL    1       ADDA_DL_CH2 DL5_CH2                      Off
330     BOOL    1       ADDA_DL_CH2 DL6_CH2                      Off
331     BOOL    1       ADDA_DL_CH2 DL7_CH2                      Off
332     BOOL    1       ADDA_DL_CH2 DL8_CH2                      Off
333     BOOL    1       ADDA_DL_CH2 ADDA_UL_CH3                  Off
334     BOOL    1       ADDA_DL_CH2 ADDA_UL_CH2                  Off
335     BOOL    1       ADDA_DL_CH2 ADDA_UL_CH1                  Off
336     BOOL    1       ADDA_DL_CH2 GAIN1_OUT_CH2                Off
337     BOOL    1       ADDA_DL_CH2 PCM_1_CAP_CH1                Off
338     BOOL    1       ADDA_DL_CH2 PCM_2_CAP_CH1                Off
339     BOOL    1       ADDA_DL_CH2 PCM_1_CAP_CH2                Off
340     BOOL    1       ADDA_DL_CH2 PCM_2_CAP_CH2                Off
341     BOOL    1       ADDA_DL_CH2 SRC_1_OUT_CH2                Off
342     BOOL    1       ADDA_DL_CH3 DL1_CH1                      Off
343     BOOL    1       ADDA_DL_CH3 DL12_CH1                     Off
344     BOOL    1       ADDA_DL_CH3 DL2_CH1                      Off
345     BOOL    1       ADDA_DL_CH3 DL3_CH1                      Off
346     BOOL    1       ADDA_DL_CH3 DL4_CH1                      Off
347     BOOL    1       ADDA_DL_CH3 DL5_CH1                      Off
348     BOOL    1       ADDA_DL_CH3 DL6_CH1                      Off
349     BOOL    1       ADDA_DL_CH3 ADDA_UL_CH3                  Off
350     BOOL    1       ADDA_DL_CH3 ADDA_UL_CH2                  Off
351     BOOL    1       ADDA_DL_CH3 ADDA_UL_CH1                  Off
352     BOOL    1       ADDA_DL_CH3 GAIN1_OUT_CH1                Off
353     BOOL    1       ADDA_DL_CH3 PCM_1_CAP_CH1                Off
354     BOOL    1       ADDA_DL_CH3 PCM_2_CAP_CH1                Off
355     BOOL    1       ADDA_DL_CH4 DL1_CH1                      Off
356     BOOL    1       ADDA_DL_CH4 DL1_CH2                      Off
357     BOOL    1       ADDA_DL_CH4 DL12_CH2                     Off
358     BOOL    1       ADDA_DL_CH4 DL2_CH1                      Off
359     BOOL    1       ADDA_DL_CH4 DL2_CH2                      Off
360     BOOL    1       ADDA_DL_CH4 DL3_CH1                      Off
361     BOOL    1       ADDA_DL_CH4 DL3_CH2                      Off
362     BOOL    1       ADDA_DL_CH4 DL4_CH2                      Off
363     BOOL    1       ADDA_DL_CH4 DL5_CH2                      Off
364     BOOL    1       ADDA_DL_CH4 DL6_CH2                      Off
365     BOOL    1       ADDA_DL_CH4 ADDA_UL_CH3                  Off
366     BOOL    1       ADDA_DL_CH4 ADDA_UL_CH2                  Off
367     BOOL    1       ADDA_DL_CH4 ADDA_UL_CH1                  Off
368     BOOL    1       ADDA_DL_CH4 GAIN1_OUT_CH2                Off
369     BOOL    1       ADDA_DL_CH4 PCM_1_CAP_CH1                Off
370     BOOL    1       ADDA_DL_CH4 PCM_2_CAP_CH1                Off
371     BOOL    1       ADDA_DL_CH4 PCM_1_CAP_CH2                Off
372     BOOL    1       ADDA_DL_CH4 PCM_2_CAP_CH2                Off
373     ENUM    1       ADDA_UL_Mux                              MTKAIF
374     ENUM    1       ADDA_CH34_UL_Mux                         MTKAIF
375     BOOL    1       Sidetone Filter Switch                   Off
376     ENUM    1       Audio_SineGen_Switch                     I0I1
377     ENUM    1       Audio_SineGen_SampleRate                 8K378     ENUM    1       Audio_SineGen_Amplitude                  1/128
379     ENUM    1       Audio_SineGen_Mute_Ch1                   Off
380     ENUM    1       Audio_SineGen_Mute_Ch2                   Off
381     INT     1       Audio_SineGen_Freq_Div_Ch1               0
382     INT     1       Audio_SineGen_Freq_Div_Ch2               0
383     INT     1       usb_call_echo_ref                        0
384     INT     1       Speech_A2M_Msg_ID                        0
385     INT     1       Speech_MD_Status                         0
386     INT     1       Speech_SCP_CALL_STATE                    0
387     BOOL    1       Speech_Mic_Mute                          Off
388     BOOL    1       Speech_DL_Mute                           Off
389     BOOL    1       Speech_UL_Mute                           Off
390     INT     1       Speech_Phone1_MD_Idx                     0
391     INT     1       Speech_Phone2_MD_Idx                     0
392     BOOL    1       Speech_Phone_ID                          Off
393     BOOL    1       Speech_MD_EPOF                           Off
394     BOOL    1       Speech_BT_SCO_WB                         Off
395     BOOL    1       Speech_SHM_Init                          On396     BOOL    1       Speech_SHM_USIP                          On397     INT     1       Speech_SHM_Widx                          0
398     INT     1       Speech_MD_HeadVersion                    43605
399     INT     1       Speech_MD_Version                        12288
400     BOOL    1       Speech_Cust_Param_Init                   Off
401     BOOL    1       Vow_bargein_echo_ref                     Off
402     ENUM    1       Ultrasound Enable                        Off
403     ENUM    1       Ultrasound RampDown                      Off
404     INT     1       Ultrasound Latency                       0
405     INT     1       Ultrasound Sensitivity                   0
406     INT     2       Ultrasound Speaker Scaling               0 0
407     INT     1       Ultrasound Microphone Index              0
408     INT     1       Ultrasound Mode                          0
409     INT     1       Ultrasound Mode Flags                    0
410     INT     1       Ultrasound Calibration Profile           0
411     INT     1       Ultrasound Gain                          0
412     INT     1       Ultrasound Calibration State             0
413     BYTE    96      Ultrasound System Configuration           00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00
414     BYTE    64      Ultrasound Calibration Data               de  ad  be  ef  de  ad  be  ef  de  ad  be  ef  de  ad  be  ef  de  ad  be  ef  de  ad  be  ef  de  ad  be  ef  de  ad  be  ef  de  ad  be  ef  de  ad  be  ef  de  ad  be  ef  de  ad  be  ef  de  ad  be  ef  de  ad  be  ef  de  ad  be  ef  de  ad  be  ef
415     BYTE    16      Ultrasound Version                        de  00  00  00  ad  00  00  00  be  00  00  00  ef  00  00  00
416     BYTE    128     Ultrasound Branch                         00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00
